CODIGO,DESCRIPCION,MARCA,HIPERFAMILIA,FAMILIA,SUBFAMILIA,COSTO_PROMEDIO,PRECIO_IVA,SOCIO_IVA,PEM_DISP,PEM_TRANS,PEM_BOD,SEM_DISP,SEM_BOD,CEM_DISP,CEM_BOD,MEM_DISP,MEM_BOD,IEM_DISP,IEM_TRANS,TEM_DISP,TEM_TRANS,RCE_DISP,CD_DISP,CD_TRANS
10584,CATALIZADOR CHICO P/MASILLA 14 GRS. (e=50),Sherwinwillians,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,890,2070,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10687,POXIPOL 10MIN METALICO 14ML (0111012)(E6),Poxipol,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,2879,7501,7501,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
10688,POXIPOL 10MIN TRANSPARENTE 14ML (0111013)(E6),Poxipol,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,2973,7501,7501,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
10690,POXIPOL 10MIN TRANSPARENTE 70ML (0111015)(E1),Poxipol,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,6700,19160,19160,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0
10691,LA GOTITA CÁPSULA2ML (0112016)(E6),Poxipol,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,1466,3362,3362,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
10692,POXILINA 10MIN 38ML  (0113022)(E6),Poxipol,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,2949,7501,7501,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
10693,POXILINA 10 MIN 155ML. (0113024)(E1),Poxipol,FERRETERIA,QUIMICOS Y PEGAMENTOS,ADHESIVO CONTACTO,5931,21139,21139,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
10705,"(CD) MALLA GALLINERO 3/4"" X 22 X 1.00 X MT VISTEEL (R-50 MTS)",RGM,MATERIALES DE CONSTRUCCION,"MALLAS, PILARES Y CADENAS",MALLAS PERIMETRALES,409,1790,1790,69,0,69,0,0,0,0,0,0,0,0,0,0,0,2050,0
10759,"CLAVO CTE 1 1/4"" GRANEL  X KG PRODA (CL5520)",Prodalam,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,979,5670,5670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10760,"CLAVO CTE 1 1/2""  BOLSA DE 1 KG  (E-25) (CL5514)",MTS - CLAVOS,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,901,3570,3570,0,0,0,40,40,0,0,0,0,0,0,0,0,0,450,0
10761,"(CD) CLAVO CTE 2""  BOLSA DE 1 KG  (E-25) (CL5510)",MTS - CLAVOS,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,922,2620,2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10765,"CLAVO CTE 5""  BOLSA DE 1 KG  (E-25) (CL5502)",MTS - CLAVOS,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,818,3180,3180,0,0,0,74,74,0,0,0,0,0,0,0,0,0,625,0
10766,"CLAVO CTE 6""  BOLSA DE 1 KG  PRY-MET (E-20)",MTS - CLAVOS,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,766,3180,3180,0,0,0,16,16,0,0,0,0,0,0,0,0,0,225,0
10770,"GRAPAS GALV 3/4"" GRANEL X KG PRODA (GR0314)",MTS - CLAVOS,FERRETERIA,HERRAMIENTAS MANUALES,REMACHADORAS Y ENGRAPADORAS,1346,5670,5670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10772,GRAPAS GALV 1 1/4 BOLSA 1 KG  (E-CJA 25),MTS - CLAVOS,FERRETERIA,HERRAMIENTAS MANUALES,REMACHADORAS Y ENGRAPADORAS,1039,3980,3980,0,0,0,72,72,0,0,0,0,0,0,0,0,0,375,0
10773,"GRAPAS GALV 1 1/2""  BOLSA 1 KG",MTS - CLAVOS,FERRETERIA,HERRAMIENTAS MANUALES,REMACHADORAS Y ENGRAPADORAS,1005,4880,4880,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0
10775,"PUNTA CTE 3/4"" GRANEL X KG PRODA (CL1016)",MTS - CLAVOS,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,1407,4380,4380,0,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0
10776,"PUNTA CTE 1"" GRANEL X KG PRODA (CL1015)",Prodalam,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,1224,4870,4870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10777,"PUNTA CTE 1 1/4"" GRANEL X KG PRODA (CL5634)",Prodalam,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,1179,4290,4290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10780,"PUNTA CTE 2 1/2"" GRANEL X KG PRODA (CL5631)",Prodalam,FERRETERIA,FIJACIONES,CLAVOS MULTIUSO,1070,4870,4870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10790,SIKA - 1 TAMB. 200 KG SIKA (463837)(E1),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,114482,186392,186392,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10792,SIKA - 1 TIN. 18 LT SIKA (463838)(E1),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,22442,39265,39265,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
10793,SIKA - 1 BIDON 4.5 LT SIKA (463839)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,7643,15209,15209,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
10798,IGOL INCOLORO GL. 3 LT. SIKA (463545)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,11750,23207,23207,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
10800,IGOL PRIMER TINETA 16 LT. SIKA (463355)(E1),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,65117,119970,119970,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10801,IGOL PRIMER GL. 3 LT. SIKA (463356)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,15388,30990,30990,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0
10803,IGOL DENSO TINETA 16 LT. SIKA (463546)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,64162,117452,117452,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10804,IGOL DENSO GL. 3 LT. SIKA (463547)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,17490,35024,35024,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
10810,IGOL LADRILLO GL.3 KG. SIKA (463590)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,IMPERMEABILIZANTES,13313,26680,26680,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
10815,SIKA - 3 TAMB. 250 KG SIKA (463899)(E1),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,ACELERANTES DE FRAGUADO,196040,280178,280178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10816,SIKA - 3 TINETA 18 KG SIKA (463900)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,ACELERANTES DE FRAGUADO,26633,42461,42461,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
10820,SIKADUR 32 (A+B) 1 KG SIKA (464128)(E6),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,ADHERENTES Y ADHESIVOS,16269,31053,31053,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0
10821,SIKADUR 31 (A+B) 1 KG SIKA (93548)(E6),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,ADHERENTES Y ADHESIVOS,13279,25619,25619,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0
10829,SIKAFLEX 11FC GRIS CARTUCHO 300 GR SIKA (756950)(E12),Sika,TERMINACIONES,"ADHESIVOS, SELLANTES Y QUÍMICOS",SILICONAS,9498,17521,17521,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0
10837,ANTISOL TINETA 18 LT SIKA (463909)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,MEMBRANAS DE CURADO,35038,66574,66574,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
10838,SIKAFORM DESM/ MADERA TIN. 16 LT SIKA (167972)(E4),Sika,MATERIALES DE CONSTRUCCION,ADITIVOS,DESMOLDANTES,69186,127349,127349,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
10876,ANTICORROSIVO ROJO MAESTRANZA 1/4 GL SOQUINA (20433404)(E6),Soquina,TERMINACIONES,PINTURA,ANTICORROSIVOS,3245,7716,7716,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0
10878,ANTICORROSIVO ROJO MAESTRANZA LATA SOQUINA (20433405)(E1),Soquina,TERMINACIONES,PINTURA,ANTICORROSIVOS,59281,103648,103648,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
10881,ANTICORROSIVO GRIS PERLA 1/4 GL SOQUINA (20360004)(E6),Soquina,TERMINACIONES,PINTURA,ANTICORROSIVOS,3302,7716,7716,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
10882,ANTICORROSIVO GRIS PERLA GL SOQUINA (20360001)(E1),Soquina,TERMINACIONES,PINTURA,ANTICORROSIVOS,12320,22459,22459,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0
10958,ANTICORROSIVO ROJO MAESTRANZA GL SOQUINA (20433401)(E1),Soquina,TERMINACIONES,PINTURA,ANTICORROSIVOS,11408,23689,23689,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0
10968,PINTURA TRAFICO CONTRASTE AMARILLA GL CERESITA (12216501)(E1),Soquina,TERMINACIONES,PINTURA,PINTURA  PISO,20290,36531,36531,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0
10969,PINTURA TRAFICO CONTRASTE BLANCO GL CERESITA (12023601)(E1),Soquina,TERMINACIONES,PINTURA,PINTURA  PISO,18601,33249,33249,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
11006,PASTA MURO INTERIOR F-6 TAJAMAR (1 KG) 38111010 (E8),Tajamar,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,659,1860,1860,0,24,0,26,26,0,0,0,0,0,0,0,0,0,0,0
11008,PASTA MURO INTERIOR F-15 TAJAMAR (GL) 39111001 (E8),Tajamar,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,4223,6307,6307,0,16,0,35,35,0,0,0,0,0,0,0,0,0,0,0
11010,PASTA MURO EXTERIOR A-1 TAJAMAR (1 KG) (34111010) (E8),Tajamar,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,1030,3034,3034,0,0,0,25,25,0,0,2,2,0,0,0,0,0,0,0
11012,PASTA MURO INTERIOR F- 6 TAJAMAR (GL) 38111001 (E1),Tajamar,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,4601,8733,8733,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0
11014,PASTA MURO EXTERIOR A-1 TAJAMAR (GL) (34111001) (E1),Tajamar,TERMINACIONES,PINTURA,PASTAS Y TEXTURAS,6585,14700,14700,0,10,0,9,9,0,0,0,0,0,0,0,0,0,0,0
11021,(CD) RUEDA CARRETILLA NEUMATICA 350 X 8 URO y/o Otros (E1) (102330703),GROSVER,FERRETERIA,ALBAÑILERIA,CARRETILLAS Y PALAS,4274,10980,10980,43,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
11022,RUEDA CARRETILLA MACIZA (GRIS)  350X8,Lioi,FERRETERIA,ALBAÑILERIA,CARRETILLAS Y PALAS,6500,13350,13350,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11058,ACIDO MURIATICO (DIDEVAL) Y/O (PASSOL) 1 LT (E20),Passol,TERMINACIONES,PINTURA,SOLVENTES Y REMOVEDORES,638,1551,1551,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0
